country,batch,0
US,2005,7
GB,2005,1
US,2006,14
US,2007,28
GB,2007,1
DE,2007,1
JP,2007,1
CA,2008,1
US,2008,32
DK,2008,1
US,2009,37
GB,2010,1
US,2010,56
IE,2010,1
CN,2010,1
US,2011,96
SE,2011,1
CA,2011,3
GB,2011,2
SN,2012,1
CA,2012,9
IL,2012,1
IN,2012,2
TR,2012,1
GR,2012,1
HK,2012,1
GB,2012,4
US,2012,187
MX,2013,1
PL,2013,1
PH,2013,1
DE,2013,1
US,2013,87
CN,2013,1
CA,2013,2
BR,2013,1
AT,2014,1
US,2014,127
CA,2014,11
IL,2014,1
NL,2014,1
FR,2014,2
IN,2014,2
GB,2014,3
KE,2015,1
NP,2015,1
IL,2015,1
MX,2015,1
ES,2015,1
IN,2015,3
SI,2015,1
FR,2015,1
HK,2015,2
AR,2015,1
US,2015,181
CN,2015,1
GB,2015,6
TH,2015,1
BD,2015,1
SN,2015,1
ID,2015,1
SG,2015,2
SE,2015,1
CA,2015,7
IL,2016,2
IN,2016,6
EG,2016,1
GB,2016,1
HK,2016,1
KR,2016,1
DK,2016,1
FR,2016,2
NL,2016,1
GH,2016,1
MX,2016,2
RU,2016,1
NO,2016,1
SG,2016,1
CO,2016,1
NG,2016,2
CA,2016,8
US,2016,184
BR,2016,1
BR,2017,1
GB,2017,10
CA,2017,7
SG,2017,1
HU,2017,1
HK,2017,1
US,2017,173
ID,2017,1
ZA,2017,1
MA,2017,1
FR,2017,3
IN,2017,15
DK,2017,1
KR,2017,1
MX,2017,3
MY,2017,1
CN,2017,1
NG,2017,7
GH,2017,1
IL,2017,3
CO,2017,2
NZ,2017,1
NG,2018,3
SG,2018,2
IL,2018,1
ID,2018,3
TR,2018,1
IN,2018,7
MX,2018,7
PT,2018,1
LV,2018,1
US,2018,208
VN,2018,1
PR,2018,1
NL,2018,1
PL,2018,1
AE,2018,1
DE,2018,1
CN,2018,2
FR,2018,3
CA,2018,13
CO,2018,2
CL,2018,2
GB,2018,10
DE,2019,4
PH,2019,1
CA,2019,13
IL,2019,2
SI,2019,1
MX,2019,9
KR,2019,1
SG,2019,3
SC,2019,1
EG,2019,2
IN,2019,18
SE,2019,1
PL,2019,1
FR,2019,4
IQ,2019,1
AR,2019,3
PE,2019,2
ID,2019,2
CO,2019,4
CZ,2019,1
AU,2019,2
PA,2019,1
CN,2019,5
GR,2019,1
BR,2019,2
US,2019,264
NG,2019,4
GB,2019,10
SE,2020,1
NO,2020,1
NG,2020,5
MX,2020,11
DZ,2020,1
CL,2020,2
PK,2020,2
PA,2020,1
DE,2020,5
IT,2020,1
KE,2020,2
IN,2020,36
CO,2020,2
TZ,2020,1
BR,2020,11
NL,2020,1
EG,2020,2
ES,2020,1
SG,2020,5
ID,2020,3
FR,2020,5
CA,2020,17
US,2020,291
IE,2020,1
GB,2020,17
IL,2020,1
AR,2020,3
ET,2020,1
AT,2021,2
NO,2021,2
US,2021,384
VN,2021,3
AE,2021,2
GE,2021,1
AR,2021,2
PE,2021,4
SE,2021,1
BE,2021,1
CH,2021,3
BR,2021,21
SN,2021,1
PH,2021,5
PK,2021,3
PL,2021,3
CL,2021,11
SI,2021,1
PT,2021,1
SG,2021,17
RO,2021,1
CA,2021,29
AU,2021,3
NL,2021,3
ZM,2021,1
IN,2021,65
MA,2021,2
EG,2021,6
IE,2021,4
DK,2021,5
LT,2021,1
KR,2021,2
ID,2021,4
KE,2021,2
FI,2021,1
ZA,2021,1
EE,2021,2
IT,2021,1
IL,2021,2
CO,2021,6
EC,2021,1
FR,2021,13
ES,2021,4
MX,2021,33
GH,2021,1
NG,2021,9
DE,2021,7
GB,2021,35
MY,2021,2
CY,2021,1
HR,2021,1
UG,2022,1
FR,2022,10
ES,2022,6
SG,2022,10
IL,2022,8
VN,2022,4
GH,2022,1
AR,2022,5
AE,2022,5
ET,2022,1
VE,2022,1
US,2022,333
BR,2022,8
FI,2022,1
AU,2022,5
TR,2022,1
TW,2022,1
GB,2022,19
IE,2022,1
ID,2022,19
HK,2022,1
BH,2022,1
CO,2022,7
KR,2022,3
NZ,2022,1
PK,2022,5
CR,2022,1
DE,2022,12
PE,2022,2
CL,2022,3
PA,2022,3
DK,2022,2
KE,2022,3
SA,2022,3
NO,2022,1
MX,2022,17
NG,2022,24
CH,2022,5
JP,2022,1
SE,2022,2
IN,2022,48
NL,2022,4
MY,2022,2
CA,2022,20
PH,2022,2
CA,2023,2
UY,2023,1
CO,2023,1
NG,2023,2
US,2023,166
AE,2023,1
DE,2023,4
MX,2023,2
FR,2023,2
AU,2023,1
PK,2023,1
ID,2023,1
CL,2023,2
SA,2023,1
BR,2023,1
CH,2023,1
IL,2023,6
SG,2023,1
HK,2023,1
GB,2023,5
